"locusName_Version1"	"locusName_Version2"	"locusName_Version3"	"Arabidopsis_homolog"	"Arabidopsis_homolog_symbol"	"Arabidopsis_homolog_defline"	"Rice_homolog"	"Rice_homolog_defline"
"Sb03g026070"	"SORBI_3003G198200"	"Sobic.003G198200"	"AT1G72770.3"	"HAB1"	"homology to ABI1"	"LOC_Os01g40094.1"	"protein phosphatase 2C, putative, expressed"
"Sb03g026090"	"SORBI_3003G198400"	"Sobic.003G198400"	"AT5G57070.1"	""	"hydroxyproline-rich glycoprotein family protein"	"LOC_Os01g40190.1"	"retrotransposon protein, putative, unclassified, expressed"
"Sb03g026100"	"SORBI_3003G198500"	"Sobic.003G198500"	"AT1G54560.1"	"ATXIE,XIE"	"Myosin family protein with Dil domain"	"LOC_Os01g40200.1"	"XIK, putative, expressed"
"Sb03g026120"	"SORBI_3003G198900"	"Sobic.003G198900"	"AT1G16220.1"	""	"Protein phosphatase 2C family protein"	"LOC_Os04g25570.1"	"protein phosphatase 2C, putative, expressed"
"Sb03g026140"	"SORBI_3003G199200"	"Sobic.003G199200"	"AT1G05840.1"	""	"Eukaryotic aspartyl protease family protein"	"LOC_Os02g27360.1"	"aspartic proteinase-like protein 2 precursor, putative, expressed"
"Sb03g026140"	"SORBI_3003G199200"	"Sobic.003G199200"	"AT1G05840.1"	""	"Eukaryotic aspartyl protease family protein"	"LOC_Os02g27360.2"	"aspartic proteinase-like protein 2 precursor, putative, expressed"
"Sb03g026170"	"SORBI_3003G199400"	"Sobic.003G199400"	"AT5G26170.1"	"ATWRKY50,WRKY50"	"WRKY DNA-binding protein 50"	"LOC_Os01g40260.1"	"WRKY77, expressed"
"Sb03g026180"	"SORBI_3003G199500"	"Sobic.003G199500"	"AT5G35460.1"	""	""	"LOC_Os01g40280.1"	"integral membrane protein, putative, expressed"
"Sb03g026210"	"SORBI_3003G199800"	"Sobic.003G199800"	"AT1G74730.1"	""	"Protein of unknown function (DUF1118)"	"LOC_Os01g40310.1"	"expressed protein"
"Sb03g026220"	"SORBI_3003G199900"	"Sobic.003G199900"	"AT5G36160.1"	""	"Tyrosine transaminase family protein"	"LOC_Os02g19924.1"	"aminotransferase, classes I and II, domain containing protein, expressed"
"Sb03g026260"	"SORBI_3003G200501"	"Sobic.003G200501"	"AT3G45980.1"	"H2B,HTB9"	"Histone superfamily protein"	"LOC_Os08g38300.1"	"Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed"
"Sb03g026310"	"SORBI_3003G201000"	"Sobic.003G201000"	"AT1G80710.1"	"DRS1"	"DROUGHT SENSITIVE 1"	"LOC_Os08g18150.1"	"WD domain, G-beta repeat domain containing protein, expressed"
"Sb03g026320"	"SORBI_3003G201100"	"Sobic.003G201100"	"AT1G74720.1"	"QKY"	"C2 calcium/lipid-binding plant phosphoribosyltransferase family protein"	"LOC_Os01g40480.1"	"anthranilate phosphoribosyltransferase, putative, expressed"
"Sb03g026330"	"SORBI_3003G201200"	"Sobic.003G201200"	"AT5G04890.1"	"RTM2"	"HSP20-like chaperones superfamily protein"	"LOC_Os05g51440.1"	"hsp20/alpha crystallin family protein, putative, expressed"
"Sb03g026340"	"SORBI_3003G201400"	"Sobic.003G201400"	"AT5G20970.1"	""	"HSP20-like chaperones superfamily protein"	"LOC_Os01g40550.1"	"hsp20/alpha crystallin family protein, putative, expressed"
"Sb03g026350"	"SORBI_3003G201500"	"Sobic.003G201500"	"AT3G01280.1"	"ATVDAC1,VDAC1"	"voltage dependent anion channel 1"	"LOC_Os01g40570.1"	"outer mitochondrial membrane porin, putative, expressed"
"Sb03g026360"	"SORBI_3003G201600"	"Sobic.003G201600"	"AT5G62740.1"	"ATHIR1,HIR1"	"SPFH/Band 7/PHB domain-containing membrane-associated protein family"	"LOC_Os01g40580.1"	"hypersensitive-induced response protein, putative, expressed"
"Sb03g026370"	"SORBI_3003G201700"	"Sobic.003G201700"	"AT5G15080.1"	""	"Protein kinase superfamily protein"	"LOC_Os01g40590.1"	"tyrosine protein kinase domain containing protein, putative, expressed"
"Sb03g026430"	"SORBI_3003G202200"	"Sobic.003G202200"	"AT3G53450.1"	""	"Putative lysine decarboxylase family protein"	"LOC_Os01g40630.1"	"uncharacterized protein PA4923, putative, expressed"
"Sb03g026450"	"SORBI_3003G202400"	"Sobic.003G202400"	"AT5G53650.1"	""	""	"LOC_Os01g40650.1"	"expressed protein"
"Sb03g026470"	"SORBI_3003G202600"	"Sobic.003G202600"	"AT1G49950.3"	"ATTRB1,TRB1"	"telomere repeat binding factor 1"	"LOC_Os01g40670.1"	"single myb histone, putative, expressed"
"Sb03g026500"	"SORBI_3003G202900"	"Sobic.003G202900"	"AT1G22790.2"	""	""	"LOC_Os01g40700.1"	"expressed protein"
"Sb03g026510"	"SORBI_3003G203000"	"Sobic.003G203000"	"AT1G34000.1"	"OHP2"	"one-helix protein 2"	"LOC_Os01g40710.1"	"high light inducible protein, putative, expressed"
"Sb03g026530"	"SORBI_3003G203300"	"Sobic.003G203300"	"AT5G27290.1"	""	""	"LOC_Os01g28540.1"	"stress regulated protein, putative, expressed"
"Sb03g026550"	"SORBI_3003G203500"	"Sobic.003G203500"	"AT3G24503.1"	"ALDH1A,ALDH2C4,REF1"	"aldehyde dehydrogenase 2C4"	"LOC_Os01g40860.1"	"aldehyde dehydrogenase, putative, expressed"
"Sb03g026570"	"SORBI_3003G203600"	"Sobic.003G203600"	"AT3G24503.1"	"ALDH1A,ALDH2C4,REF1"	"aldehyde dehydrogenase 2C4"	"LOC_Os01g40870.1"	"aldehyde dehydrogenase, putative, expressed"
"Sb03g026600"	"SORBI_3003G203800"	"Sobic.003G203800"	"AT3G19184.1"	""	"AP2/B3-like transcriptional factor family protein"	"LOC_Os06g09420.1"	"B3 DNA binding domain containing protein, expressed"
"Sb03g026620"	"SORBI_3003G204200"	"Sobic.003G204200"	"AT3G19184.1"	""	"AP2/B3-like transcriptional factor family protein"	"LOC_Os06g09420.1"	"B3 DNA binding domain containing protein, expressed"
"Sb03g026630"	"SORBI_3003G204600"	"Sobic.003G204600"	"AT5G53250.1"	"AGP22,ATAGP22"	"arabinogalactan protein 22"	"LOC_Os01g40880.1"	"hypothetical protein"
"Sb03g026670"	"SORBI_3003G205100"	"Sobic.003G205100"	"AT1G79950.1"	""	"RAD3-like DNA-binding helicase protein"	"LOC_Os01g40980.1"	"helicase, putative, expressed"
"Sb03g026710"	"SORBI_3003G205400"	"Sobic.003G205400"	"AT4G23620.1"	""	"Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain"	"LOC_Os05g18750.1"	"ribosomal protein L25, putative, expressed"
"Sb03g026730"	"SORBI_3003G205600"	"Sobic.003G205600"	"AT4G18670.1"	""	"Leucine-rich repeat (LRR) family protein"	"LOC_Os05g08770.1"	"uncharacterized protein At4g06744 precursor, putative, expressed"
"Sb03g026740"	"SORBI_3003G205700"	"Sobic.003G205700"	"AT3G15400.1"	"ATA20"	"anther 20"	"LOC_Os01g41140.1"	"THION18 - Plant thionin family protein precursor, expressed"
"Sb03g026750"	"SORBI_3003G205900"	"Sobic.003G205900"	"AT5G37690.1"	""	"SGNH hydrolase-type esterase superfamily protein"	"LOC_Os06g50950.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb03g026760"	"SORBI_3003G206100"	"Sobic.003G206100"	""	""	""	"LOC_Os01g41170.1"	"THION27 - Plant thionin family protein precursor, expressed"
"Sb03g026770"	"SORBI_3003G206200"	"Sobic.003G206200"	""	""	""	"LOC_Os01g41170.1"	"THION27 - Plant thionin family protein precursor, expressed"
"Sb03g026780"	"SORBI_3003G206300"	"Sobic.003G206300"	""	""	""	"LOC_Os01g41170.1"	"THION27 - Plant thionin family protein precursor, expressed"
"Sb03g026820"	"SORBI_3003G206700"	"Sobic.003G206700"	"AT3G24450.1"	""	"Heavy metal transport/detoxification superfamily protein "	"LOC_Os01g41200.1"	"heavy metal-associated domain containing protein, expressed"
"Sb03g026830"	"SORBI_3003G206800"	"Sobic.003G206800"	"AT5G19590.1"	""	"Protein of unknown function, DUF538"	"LOC_Os01g41220.2"	"DUF538 domain containing protein, putative, expressed"
"Sb03g026840"	"SORBI_3003G206900"	"Sobic.003G206900"	"AT3G24420.1"	""	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os01g41240.1"	"hydrolase, alpha/beta fold family domain containing protein, expressed"
"Sb03g026860"	"SORBI_3003G207000"	"Sobic.003G207000"	"AT1G05950.1"	""	""	"LOC_Os09g33940.1"	"expressed protein"
"Sb03g026870"	"SORBI_3003G207200"	"Sobic.003G207200"	"AT3G49150.1"	""	"F-box/RNI-like superfamily protein"	"LOC_Os01g41260.1"	"OsFBD2 - F-box and FBD domain containing protein, expressed"
"Sb03g026880"	"SORBI_3003G207300"	"Sobic.003G207300"	"AT3G03030.1"	""	"F-box/RNI-like superfamily protein"	"LOC_Os01g41270.1"	"OsFBD3 - F-box and FBD domain containing protein, expressed"
"Sb03g026910"	"SORBI_3003G207800"	"Sobic.003G207800"	"AT3G26922.1"	""	"F-box/RNI-like superfamily protein"	"LOC_Os01g41280.1"	"OsFBD4 - F-box and FBD domain containing protein, expressed"
"Sb03g026915"	"SORBI_3003G207900"	"Sobic.003G207900"	"AT5G15240.1"	""	"Transmembrane amino acid transporter family protein"	"LOC_Os01g41420.1"	"transmembrane amino acid transporter protein, putative, expressed"
"Sb03g026920"	"SORBI_3003G208000"	"Sobic.003G208000"	"AT5G15240.1"	""	"Transmembrane amino acid transporter family protein"	"LOC_Os01g41400.1"	"transmembrane amino acid transporter protein, putative, expressed"
"Sb03g026930"	"SORBI_3003G208300"	"Sobic.003G208300"	"AT3G49240.1"	"emb1796"	"Pentatricopeptide repeat (PPR) superfamily protein"	"LOC_Os11g24570.1"	"PPR repeat domain containing protein, putative, expressed"
"Sb03g026950"	"SORBI_3003G208500"	"Sobic.003G208500"	"AT1G13570.1"	""	"F-box/RNI-like superfamily protein"	"LOC_Os01g41530.1"	"OsFBL2 - F-box domain and LRR containing protein, expressed"
"Sb03g026970"	"SORBI_3003G208800"	"Sobic.003G208800"	"AT1G01300.1"	""	"Eukaryotic aspartyl protease family protein"	"LOC_Os01g41550.1"	"aspartic proteinase, putative, expressed"
"Sb03g026980"	"SORBI_3003G208900"	"Sobic.003G208900"	"AT4G23950.1"	""	"Galactose-binding protein"	"LOC_Os01g41600.1"	"Sad1 / UNC-like C-terminal domain containing protein, putative, expressed"
"Sb03g027030"	"SORBI_3003G209800"	"Sobic.003G209800"	"AT2G34420.1"	"LHB1B2,LHCB1.5"	"photosystem II light harvesting complex gene B1B2"	"LOC_Os01g41710.1"	"chlorophyll A-B binding protein, putative, expressed"
"Sb03g027040"	"SORBI_3003G209900"	"Sobic.003G209900"	"AT2G34420.1"	"LHB1B2,LHCB1.5"	"photosystem II light harvesting complex gene B1B2"	"LOC_Os01g41710.1"	"chlorophyll A-B binding protein, putative, expressed"
"Sb03g027060"	"SORBI_3003G210100"	"Sobic.003G210100"	"AT3G17210.1"	"ATHS1,HS1"	"heat stable protein 1"	"LOC_Os01g33160.1"	"stress responsive A/B Barrel domain containing protein, expressed"
"Sb03g027090"	"SORBI_3003G210801"	"Sobic.003G210801"	"AT2G34930.1"	""	"disease resistance family protein / LRR family protein"	"LOC_Os01g41770.1"	"leucine rich repeat protein, putative, expressed"
"Sb03g027100"	"SORBI_3003G210900"	"Sobic.003G210900"	"AT3G13690.1"	""	"Protein kinase protein with adenine nucleotide alpha hydrolases-like domain"	"LOC_Os01g41870.1"	"protein kinase, putative, expressed"
"Sb03g027110"	"SORBI_3003G211100"	"Sobic.003G211100"	"AT4G17520.1"	""	"Hyaluronan / mRNA binding family"	"LOC_Os01g41880.1"	"hyaluronan/mRNA binding family domain containing protein, expressed"
"Sb03g027120"	"SORBI_3003G211200"	"Sobic.003G211200"	"AT5G47390.1"	""	"myb-like transcription factor family protein"	"LOC_Os01g41900.1"	"Myb transcription factor, putative, expressed"
"Sb03g027140"	"SORBI_3003G211700"	"Sobic.003G211700"	""	""	""	"LOC_Os01g41950.1"	"expressed protein"
"Sb03g027150"	"SORBI_3003G211800"	"Sobic.003G211800"	""	""	""	"LOC_Os01g41950.1"	"expressed protein"
"Sb03g027160"	"SORBI_3003G211900"	"Sobic.003G211900"	"AT5G07610.1"	""	"F-box family protein"	"LOC_Os01g41950.1"	"expressed protein"
"Sb03g027170"	"SORBI_3003G212000"	"Sobic.003G212000"	"AT1G18530.1"	""	"EF hand calcium-binding protein family"	"LOC_Os01g41990.1"	"OsCML12 - Calmodulin-related calcium sensor protein, expressed"
"Sb03g027180"	"SORBI_3003G212100"	"Sobic.003G212100"	"AT3G02420.1"	""	""	"LOC_Os01g42010.1"	"expressed protein"
"Sb03g027220"	"SORBI_3003G212500"	"Sobic.003G212500"	"AT5G06410.1"	""	"DNAJ heat shock N-terminal domain-containing protein"	"LOC_Os12g27070.1"	"heat shock protein DnaJ, putative, expressed"
"Sb03g027240"	"SORBI_3003G212700"	"Sobic.003G212700"	"AT5G16020.1"	"GEX3"	"gamete-expressed 3"	"LOC_Os01g42060.1"	"expressed protein"
"Sb03g027243"	"SORBI_3003G212800"	"Sobic.003G212800"	"AT1G18550.1"	""	"ATP binding microtubule motor family protein"	"LOC_Os01g42070.1"	"kinesin motor domain containing protein, putative, expressed"
"Sb03g027260"	"SORBI_3003G213000"	"Sobic.003G213000"	"AT5G62850.1"	"AtVEX1"	"Nodulin MtN3 family protein"	"LOC_Os01g42090.1"	"nodulin MtN3 family protein, putative, expressed"
"Sb03g027270"	"SORBI_3003G213100"	"Sobic.003G213100"	"AT1G64110.2"	""	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"LOC_Os01g43480.1"	"AAA-type ATPase family protein, putative, expressed"
"Sb03g027280"	"SORBI_3003G213300"	"Sobic.003G213300"	"AT1G49000.1"	""	""	"LOC_Os01g42130.1"	"expressed protein"
"Sb03g027290"	"SORBI_3003G213400"	"Sobic.003G213400"	"AT1G14990.1"	""	""	"LOC_Os01g42120.1"	"expressed protein"
"Sb03g027320"	"SORBI_3003G213900"	"Sobic.003G213900"	"AT2G01410.1"	""	"NHL domain-containing protein"	"LOC_Os01g42140.1"	"expressed protein"
"Sb03g027330"	"SORBI_3003G214000"	"Sobic.003G214000"	"AT1G71000.1"	""	"Chaperone DnaJ-domain superfamily protein"	"LOC_Os01g42190.1"	"heat shock protein DnaJ, putative, expressed"
"Sb03g027340"	"SORBI_3003G214100"	"Sobic.003G214100"	""	""	""	"LOC_Os01g42200.1"	"expressed protein"
"Sb03g027370"	"SORBI_3003G214400"	"Sobic.003G214400"	"AT2G01170.1"	"BAT1"	"bidirectional amino acid transporter 1"	"LOC_Os01g42234.1"	"amino acid permease family protein, putative, expressed"
"Sb03g027370"	"SORBI_3003G214400"	"Sobic.003G214400"	"AT2G01170.1"	"BAT1"	"bidirectional amino acid transporter 1"	"LOC_Os01g42234.2"	"amino acid permease family protein, putative, expressed"
"Sb03g027395"	"SORBI_3003G214800"	"Sobic.003G214800"	"AT5G55740.1"	"CRR21"	"Tetratricopeptide repeat (TPR)-like superfamily protein"	"LOC_Os01g42280.1"	"pentatricopeptide, putative, expressed"
"Sb03g027400"	"SORBI_3003G214900"	"Sobic.003G214900"	"AT2G26730.1"	""	"Leucine-rich repeat protein kinase family protein"	"LOC_Os01g42294.1"	"inactive receptor kinase At2g26730 precursor, putative, expressed"
"Sb03g027420"	"SORBI_3003G215200"	"Sobic.003G215200"	"AT4G24310.1"	""	"Protein of unknown function (DUF679)"	"LOC_Os07g22510.1"	"expressed protein"
"Sb03g027460"	"SORBI_3003G215600"	"Sobic.003G215600"	"AT1G15520.1"	"ABCG40,ATABCG40,ATPDR12,PDR12"	"pleiotropic drug resistance 12"	"LOC_Os01g42380.1"	"pleiotropic drug resistance protein, putative, expressed"
"Sb03g027470"	"SORBI_3003G215700"	"Sobic.003G215700"	"AT1G51650.1"	""	"ATP synthase epsilon chain, mitochondrial"	"LOC_Os08g15170.1"	"ATP synthase epsilon chain, mitochondrial, putative, expressed"
"Sb03g027480"	"SORBI_3003G215800"	"Sobic.003G215800"	"AT1G15520.1"	"ABCG40,ATABCG40,ATPDR12,PDR12"	"pleiotropic drug resistance 12"	"LOC_Os01g42380.1"	"pleiotropic drug resistance protein, putative, expressed"
"Sb03g027500"	"SORBI_3003G216166"	"Sobic.003G216166"	"AT1G15520.1"	"ABCG40,ATABCG40,ATPDR12,PDR12"	"pleiotropic drug resistance 12"	"LOC_Os01g42380.1"	"pleiotropic drug resistance protein, putative, expressed"
"Sb03g027510"	"SORBI_3003G216232"	"Sobic.003G216232"	"AT1G15520.1"	"ABCG40,ATABCG40,ATPDR12,PDR12"	"pleiotropic drug resistance 12"	"LOC_Os01g42380.1"	"pleiotropic drug resistance protein, putative, expressed"
"Sb03g027530"	"SORBI_3003G216400"	"Sobic.003G216400"	"AT5G32440.1"	""	"Ubiquitin system component Cue protein"	"LOC_Os09g03090.1"	"expressed protein"
"Sb03g027550"	"SORBI_3003G216600"	"Sobic.003G216600"	"AT5G11470.1"	""	"bromo-adjacent homology (BAH) domain-containing protein"	"LOC_Os01g42460.1"	"BAH domain containing protein, expressed"
"Sb03g027650"	"SORBI_3003G217632"	"Sobic.003G217632"	"AT5G25460.1"	""	"Protein of unknown function, DUF642"	"LOC_Os01g42520.1"	"expressed protein"
"Sb03g027660"	"SORBI_3003G217800"	"Sobic.003G217800"	"AT5G55190.1"	"ATRAN3,RAN3"	"RAN GTPase 3"	"LOC_Os05g49890.1"	"ras-related protein, putative, expressed"
"Sb03g027680"	"SORBI_3003G218000"	"Sobic.003G218000"	"AT5G20030.1"	""	"Plant Tudor-like RNA-binding protein"	"LOC_Os02g11000.1"	"agenet domain containing protein, putative, expressed"
"Sb03g027690"	"SORBI_3003G218200"	"Sobic.003G218200"	"AT3G54980.1"	""	"Pentatricopeptide repeat (PPR) superfamily protein"	"LOC_Os01g42620.2"	"pentatricopeptide containing protein, putative, expressed"
"Sb03g027710"	"SORBI_3003G218400"	"Sobic.003G218400"	"AT1G80230.1"	""	"Rubredoxin-like superfamily protein"	"LOC_Os01g42650.1"	"cytochrome c oxidase subunit 5B, mitochondrial precursor, putative, expressed"
"Sb03g027720"	"SORBI_3003G218500"	"Sobic.003G218500"	"AT1G52700.1"	""	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os01g42690.1"	"OsPOP2 - Putative Prolyl Oligopeptidase homologue, expressed"
"Sb03g027770"	"SORBI_3003G218900"	"Sobic.003G218900"	"AT2G27360.1"	""	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"LOC_Os01g42730.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb03g027800"	"SORBI_3003G219200"	"Sobic.003G219200"	"AT2G34090.1"	"MEE18"	"maternal effect embryo arrest 18"	"LOC_Os01g42800.1"	"MEE18, putative, expressed"
"Sb03g027820"	"SORBI_3003G219400"	"Sobic.003G219400"	"AT3G15010.1"	""	"RNA-binding (RRM/RBD/RNP motifs) family protein"	"LOC_Os01g42820.3"	"RNA recognition motif containing protein, putative, expressed"
"Sb03g027820"	"SORBI_3003G219400"	"Sobic.003G219400"	"AT3G15010.2"	""	"RNA-binding (RRM/RBD/RNP motifs) family protein"	"LOC_Os01g42820.3"	"RNA recognition motif containing protein, putative, expressed"
"Sb03g027860"	"SORBI_3003G219800"	"Sobic.003G219800"	"AT3G62160.1"	""	"HXXXD-type acyl-transferase family protein"	"LOC_Os01g42880.1"	"transferase family protein, putative, expressed"
"Sb03g027870"	"SORBI_3003G220000"	"Sobic.003G220000"	"AT1G53270.1"	""	"ABC-2 type transporter family protein"	"LOC_Os01g42900.1"	"ABC-2 type transporter domain containing protein, expressed"
"Sb03g027890"	"SORBI_3003G220500"	"Sobic.003G220500"	"AT1G53300.1"	"TTL1"	"tetratricopetide-repeat thioredoxin-like 1"	"LOC_Os01g42960.1"	"TTL1, putative, expressed"
"Sb03g027960"	"SORBI_3003G221200"	"Sobic.003G221200"	"AT3G12670.1"	"emb2742"	"CTP synthase family protein"	"LOC_Os01g43020.1"	"CTP synthase, putative, expressed"
"Sb03g028000"	"SORBI_3003G221600"	"Sobic.003G221600"	"AT1G71430.1"	""	""	"LOC_Os01g43060.1"	"expressed protein"
"Sb03g028010"	"SORBI_3003G221700"	"Sobic.003G221700"	"AT5G11450.1"	""	"Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein"	"LOC_Os01g43070.1"	"psbP-related thylakoid lumenal protein 4, chloroplast precursor, putative, expressed"
"Sb03g028020"	"SORBI_3003G221800"	"Sobic.003G221800"	"AT1G60690.1"	""	"NAD(P)-linked oxidoreductase superfamily protein"	"LOC_Os01g43090.1"	"oxidoreductase, aldo/keto reductase family protein, putative, expressed"
"Sb03g028050"	"SORBI_3003G222200"	"Sobic.003G222200"	"AT1G60690.1"	""	"NAD(P)-linked oxidoreductase superfamily protein"	"LOC_Os01g43090.1"	"oxidoreductase, aldo/keto reductase family protein, putative, expressed"
"Sb03g028070"	"SORBI_3003G222400"	"Sobic.003G222400"	"AT5G53140.1"	""	"Protein phosphatase 2C family protein"	"LOC_Os05g50970.1"	"protein phosphatase 2C, putative, expressed"
"Sb03g028080"	"SORBI_3003G222500"	"Sobic.003G222500"	"AT5G51820.1"	"ATPGMP,PGM,PGM1,STF1"	"phosphoglucomutase"	"LOC_Os10g11140.1"	"phosphoglucomutase, putative, expressed"
"Sb03g028090"	"SORBI_3003G222600"	"Sobic.003G222600"	"AT5G08610.1"	""	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"LOC_Os01g43120.1"	"DEAD/DEAH box helicase, putative, expressed"
"Sb03g028110"	"SORBI_3003G222800"	"Sobic.003G222800"	"AT3G61680.1"	""	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os01g43140.1"	"lipase, putative, expressed"
"Sb03g028130"	"SORBI_3003G223000"	"Sobic.003G223000"	"AT4G21300.1"	""	"Tetratricopeptide repeat (TPR)-like superfamily protein"	"LOC_Os03g56850.1"	"pentatricopeptide, putative, expressed"
"Sb03g028140"	"SORBI_3003G223100"	"Sobic.003G223100"	"AT4G23820.1"	""	"Pectin lyase-like superfamily protein"	"LOC_Os01g43160.1"	"polygalacturonase, putative, expressed"
"Sb03g028170"	"SORBI_3003G223400"	"Sobic.003G223400"	"AT4G01060.1"	"CPL3,ETC3"	"CAPRICE-like MYB3"	"LOC_Os01g43230.2"	"expressed protein"
"Sb03g028220"	"SORBI_3003G223900"	"Sobic.003G223900"	"AT3G61670.1"	""	"Protein of unknown function (DUF3133)"	"LOC_Os01g43330.1"	"extra-large G-protein-related, putative, expressed"
"Sb03g028240"	"SORBI_3003G224100"	"Sobic.003G224100"	"AT2G46370.4"	"FIN219,JAR1"	"Auxin-responsive GH3 family protein"	"LOC_Os05g50890.2"	"OsGH3.5 - Probable indole-3-acetic acid-amido synthetase, expressed"
"Sb03g028250"	"SORBI_3003G224200"	"Sobic.003G224200"	"AT1G64300.2"	""	"Protein kinase family protein"	"LOC_Os01g43350.1"	"protein kinase family protein, putative, expressed"
"Sb03g028250"	"SORBI_3003G224200"	"Sobic.003G224200"	"AT1G64300.1"	""	"Protein kinase family protein"	"LOC_Os01g43350.1"	"protein kinase family protein, putative, expressed"
"Sb03g028290"	"SORBI_3003G224600"	"Sobic.003G224600"	"AT1G64140.1"	""	""	"LOC_Os01g43372.1"	"expressed protein"
"Sb03g028320"	"SORBI_3003G225000"	"Sobic.003G225000"	"AT5G46170.1"	""	"F-box family protein"	"LOC_Os01g56390.1"	"OsFBX26 - F-box domain containing protein, expressed"
"Sb03g028350"	"SORBI_3003G225300"	"Sobic.003G225300"	"AT2G46225.2"	"ABIL1"	"ABI-1-like 1"	"LOC_Os01g43420.1"	"expressed protein"
"Sb03g028355"	"SORBI_3003G225500"	"Sobic.003G225500"	"AT1G80080.1"	"AtRLP17,TMM"	"Leucine-rich repeat (LRR) family protein"	"LOC_Os01g43440.1"	"TOO MANY MOUTHS precursor, putative, expressed"
"Sb03g028360"	"SORBI_3003G225600"	"Sobic.003G225600"	"AT5G24030.1"	"SLAH3"	"SLAC1 homologue 3"	"LOC_Os01g43460.1"	"C4-dicarboxylate transporter/malic acid transport protein, expressed"
"Sb03g028368"	"SORBI_3003G225800"	"Sobic.003G225800"	"AT1G64110.2"	""	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"LOC_Os01g43480.1"	"AAA-type ATPase family protein, putative, expressed"
"Sb03g028380"	"SORBI_3003G226000"	"Sobic.003G226000"	"AT2G43870.1"	""	"Pectin lyase-like superfamily protein"	"LOC_Os01g43490.1"	"polygalacturonase, putative, expressed"
"Sb03g028390"	"SORBI_3003G226100"	"Sobic.003G226100"	"AT5G52870.1"	""	""	"LOC_Os01g43510.1"	"expressed protein"
"Sb03g028410"	"SORBI_3003G226300"	"Sobic.003G226300"	"AT2G38010.1"	""	"Neutral/alkaline non-lysosomal ceramidase"	"LOC_Os01g43520.1"	"neutral ceramidase precursor, putative, expressed"
"Sb03g028410"	"SORBI_3003G226300"	"Sobic.003G226300"	"AT2G38010.1"	""	"Neutral/alkaline non-lysosomal ceramidase"	"LOC_Os01g43520.2"	"neutral ceramidase precursor, putative, expressed"
"Sb03g028420"	"SORBI_3003G226400"	"Sobic.003G226400"	"AT2G46140.1"	""	"Late embryogenesis abundant protein"	"LOC_Os01g43530.1"	"late embryogenesis abundant protein, putative, expressed"
"Sb03g028440"	"SORBI_3003G226600"	"Sobic.003G226600"	"AT4G01250.1"	"AtWRKY22,WRKY22"	"WRKY family transcription factor"	"LOC_Os01g43550.2"	"WRKY12, expressed"
"Sb03g028470"	"SORBI_3003G226800"	"Sobic.003G226800"	"AT4G17750.1"	"ATHSF1,ATHSFA1A,HSF1,HSFA1A"	"heat shock factor 1"	"LOC_Os01g43590.2"	"HSF-type DNA-binding domain containing protein, expressed"
"Sb03g028490"	"SORBI_3003G227000"	"Sobic.003G227000"	"AT2G18500.1"	"ATOFP7,OFP7"	"ovate family protein 7"	"LOC_Os01g43610.1"	"DUF623 domain containing protein, expressed"
"Sb03g028530"	"SORBI_3003G227300"	"Sobic.003G227300"	"AT4G18170.1"	"ATWRKY28,WRKY28"	"WRKY DNA-binding protein 28"	"LOC_Os01g43650.2"	"WRKY11, expressed"
"Sb03g028560"	"SORBI_3003G227700"	"Sobic.003G227700"	"AT3G14630.1"	"CYP72A9"	"cytochrome P450, family 72, subfamily A, polypeptide 9"	"LOC_Os01g43700.1"	"cytochrome P450 72A1, putative, expressed"
"Sb03g028570"	"SORBI_3003G227800"	"Sobic.003G227800"	"AT3G14630.1"	"CYP72A9"	"cytochrome P450, family 72, subfamily A, polypeptide 9"	"LOC_Os01g43700.1"	"cytochrome P450 72A1, putative, expressed"
"Sb03g028590"	"SORBI_3003G227900"	"Sobic.003G227900"	"AT3G14660.1"	"CYP72A13"	"cytochrome P450, family 72, subfamily A, polypeptide 13"	"LOC_Os01g43700.1"	"cytochrome P450 72A1, putative, expressed"
"Sb03g028610"	"SORBI_3003G228100"	"Sobic.003G228100"	"AT3G14690.1"	"CYP72A15"	"cytochrome P450, family 72, subfamily A, polypeptide 15"	"LOC_Os01g43710.1"	"cytochrome P450 72A1, putative, expressed"
"Sb03g028620"	"SORBI_3003G228200"	"Sobic.003G228200"	"AT3G14690.1"	"CYP72A15"	"cytochrome P450, family 72, subfamily A, polypeptide 15"	"LOC_Os01g43750.1"	"cytochrome P450 72A1, putative, expressed"
"Sb03g028630"	"SORBI_3003G228300"	"Sobic.003G228300"	"AT3G14680.1"	"CYP72A14"	"cytochrome P450, family 72, subfamily A, polypeptide 14"	"LOC_Os01g43740.1"	"cytochrome P450 72A1, putative, expressed"
